x,y,prob
0,0,1.35899e-06
0,0.00502513,1.39018e-06
0,0.0100503,1.42207e-06
0,0.0150754,1.45471e-06
0,0.0201005,1.48809e-06
0,0.0251256,1.60763e-06
0,0.0301508,1.81195e-06
0,0.0351759,2.04224e-06
0,0.040201,2.30179e-06
0,0.0452261,2.59434e-06
0,0.0502513,2.92406e-06
0,0.0552764,3.29569e-06
0,0.0603015,3.71454e-06
0,0.0653266,4.18664e-06
0,0.0703518,4.71873e-06
0,0.0753769,5.31844e-06
0,0.080402,5.99438e-06
0,0.0854271,6.75622e-06
0,0.0904523,7.61488e-06
0,0.0954774,8.58268e-06
0,0.100503,9.67347e-06
0,0.105528,1.09029e-05
0,0.110553,1.22886e-05
0,0.115578,1.38503e-05
0,0.120603,1.56106e-05
0,0.125628,1.75946e-05
0,0.130653,1.98307e-05
0,0.135678,2.2351e-05
0,0.140704,2.51915e-05
0,0.145729,2.83931e-05
0,0.150754,3.20016e-05
0,0.155779,3.60686e-05
0,0.160804,4.06525e-05
0,0.165829,4.5819e-05
0,0.170854,5.1642e-05
0,0.175879,5.82049e-05
0,0.180905,6.56019e-05
0,0.18593,7.39389e-05
0,0.190955,8.33352e-05
0,0.19598,9.39256e-05
0,0.201005,0.000105862
0,0.20603,0.000119314
0,0.211055,0.000134476
0,0.21608,0.000151565
0,0.221106,0.000170825
0,0.226131,0.000192531
0,0.231156,0.000216995
0,0.236181,0.000244567
0,0.241206,0.000275641
0,0.246231,0.000310663
0,0.251256,0.000350132
0,0.256281,0.000394614
0,0.261307,0.000444744
0,0.266332,0.00050124
0,0.271357,0.000564909
0,0.276382,0.000636659
0,0.281407,0.000717516
0,0.286432,0.000808634
0,0.291457,0.000911312
0,0.296482,0.00102702
0,0.301508,0.00115739
0,0.306533,0.0013043
0,0.311558,0.00146982
0,0.316583,0.00165631
0,0.321608,0.00186643
0,0.326633,0.00210314
0,0.331658,0.0023698
0,0.336683,0.00267018
0,0.341709,0.00300853
0,0.346734,0.00338959
0,0.351759,0.00381874
0,0.356784,0.00430199
0,0.361809,0.0048461
0,0.366834,0.00545865
0,0.371859,0.00614814
0,0.376884,0.00692412
0,0.38191,0.00779726
0,0.386935,0.00877954
0,0.39196,0.00988434
0,0.396985,0.0111266
0,0.40201,0.012523
0,0.407035,0.0140922
0,0.41206,0.0158548
0,0.417085,0.0178339
0,0.422111,0.020055
0,0.427136,0.0225464
0,0.432161,0.0253393
0,0.437186,0.0284681
0,0.442211,0.0319705
0,0.447236,0.0358879
0,0.452261,0.0402654
0,0.457286,0.0451518
0,0.462312,0.0505999
0,0.467337,0.0566664
0,0.472362,0.0634116
0,0.477387,0.0708995
0,0.482412,0.0791967
0,0.487437,0.0883726
0,0.492462,0.0984978
0,0.497487,0.109644
0,0.502513,0.12188
0,0.507538,0.135275
0,0.512563,0.149891
0,0.517588,0.165783
0,0.522613,0.182997
0,0.527638,0.201566
0,0.532663,0.22151
0,0.537688,0.242826
0,0.542714,0.265494
0,0.547739,0.289469
0,0.552764,0.314682
0,0.557789,0.341036
0,0.562814,0.368411
0,0.567839,0.396661
0,0.572864,0.425618
0,0.577889,0.455093
0,0.582915,0.484887
0,0.58794,0.514789
0,0.592965,0.544585
0,0.59799,0.574065
0,0.603015,0.603028
0,0.60804,0.631287
0,0.613065,0.658672
0,0.61809,0.685039
0,0.623116,0.710264
0,0.628141,0.734253
0,0.633166,0.756936
0,0.638191,0.778267
0,0.643216,0.798225
0,0.648241,0.816809
0,0.653266,0.834038
0,0.658291,0.849944
0,0.663317,0.864573
0,0.668342,0.877981
0,0.673367,0.89023
0,0.678392,0.901387
0,0.683417,0.911523
0,0.688442,0.920709
0,0.693467,0.929015
0,0.698492,0.936511
0,0.703518,0.943264
0,0.708543,0.949338
0,0.713568,0.954792
0,0.718593,0.959684
0,0.723618,0.964067
0,0.728643,0.967989
0,0.733668,0.971496
0,0.738693,0.974629
0,0.743719,0.977425
0,0.748744,0.979919
0,0.753769,0.982143
0,0.758794,0.984125
0,0.763819,0.98589
0,0.768844,0.987461
0,0.773869,0.988859
0,0.778894,0.990103
0,0.78392,0.991209
0,0.788945,0.992193
0,0.79397,0.993067
0,0.798995,0.993844
0,0.80402,0.994534
0,0.809045,0.995148
0,0.81407,0.995692
0,0.819095,0.996176
0,0.824121,0.996606
0,0.829146,0.996988
0,0.834171,0.997326
0,0.839196,0.997627
0,0.844221,0.997894
0,0.849246,0.998131
0,0.854271,0.998342
0,0.859296,0.998528
0,0.864322,0.998694
0,0.869347,0.998841
0,0.874372,0.998972
0,0.879397,0.999088
0,0.884422,0.99919
0,0.889447,0.999282
0,0.894472,0.999363
0,0.899497,0.999434
0,0.904523,0.999498
0,0.909548,0.999555
0,0.914573,0.999605
0,0.919598,0.999649
0,0.924623,0.999689
0,0.929648,0.999724
0,0.934673,0.999755
0,0.939698,0.999783
0,0.944724,0.999807
0,0.949749,0.999829
0,0.954774,0.999848
0,0.959799,0.999865
0,0.964824,0.999881
0,0.969849,0.999894
0,0.974874,0.999906
0,0.979899,0.999917
0,0.984925,0.999926
0,0.98995,0.999934
0,0.994975,0.999942
0,1,0.999948
0.00502513,0,1.44328e-06
0.00502513,0.00502513,1.47639e-06
0.00502513,0.0100503,1.51027e-06
0.00502513,0.0150754,1.54493e-06
0.00502513,0.0201005,1.60763e-06
0.00502513,0.0251256,1.81195e-06
0.00502513,0.0301508,2.04224e-06
0.00502513,0.0351759,2.30179e-06
0.00502513,0.040201,2.59434e-06
0.00502513,0.0452261,2.92406e-06
0.00502513,0.0502513,3.29569e-06
0.00502513,0.0552764,3.71454e-06
0.00502513,0.0603015,4.18664e-06
0.00502513,0.0653266,4.71873e-06
0.00502513,0.0703518,5.31844e-06
0.00502513,0.0753769,5.99438e-06
0.00502513,0.080402,6.75622e-06
0.00502513,0.0854271,7.61488e-06
0.00502513,0.0904523,8.58268e-06
0.00502513,0.0954774,9.67347e-06
0.00502513,0.100503,1.09029e-05
0.00502513,0.105528,1.22886e-05
0.00502513,0.110553,1.38503e-05
0.00502513,0.115578,1.56106e-05
0.00502513,0.120603,1.75946e-05
0.00502513,0.125628,1.98307e-05
0.00502513,0.130653,2.2351e-05
0.00502513,0.135678,2.51915e-05
0.00502513,0.140704,2.83931e-05
0.00502513,0.145729,3.20016e-05
0.00502513,0.150754,3.60686e-05
0.00502513,0.155779,4.06525e-05
0.00502513,0.160804,4.5819e-05
0.00502513,0.165829,5.1642e-05
0.00502513,0.170854,5.82049e-05
0.00502513,0.175879,6.56019e-05
0.00502513,0.180905,7.39389e-05
0.00502513,0.18593,8.33352e-05
0.00502513,0.190955,9.39256e-05
0.00502513,0.19598,0.000105862
0.00502513,0.201005,0.000119314
0.00502513,0.20603,0.000134476
0.00502513,0.211055,0.000151565
0.00502513,0.21608,0.000170825
0.00502513,0.221106,0.000192531
0.00502513,0.226131,0.000216995
0.00502513,0.231156,0.000244567
0.00502513,0.236181,0.000275641
0.00502513,0.241206,0.000310663
0.00502513,0.246231,0.000350132
0.00502513,0.251256,0.000394614
0.00502513,0.256281,0.000444744
0.00502513,0.261307,0.00050124
0.00502513,0.266332,0.000564909
0.00502513,0.271357,0.000636659
0.00502513,0.276382,0.000717516
0.00502513,0.281407,0.000808634
0.00502513,0.286432,0.000911312
0.00502513,0.291457,0.00102702
0.00502513,0.296482,0.00115739
0.00502513,0.301508,0.0013043
0.00502513,0.306533,0.00146982
0.00502513,0.311558,0.00165631
0.00502513,0.316583,0.00186643
0.00502513,0.321608,0.00210314
0.00502513,0.326633,0.0023698
0.00502513,0.331658,0.00267018
0.00502513,0.336683,0.00300853
0.00502513,0.341709,0.00338959
0.00502513,0.346734,0.00381874
0.00502513,0.351759,0.00430199
0.00502513,0.356784,0.0048461
0.00502513,0.361809,0.00545865
0.00502513,0.366834,0.00614814
0.00502513,0.371859,0.00692412
0.00502513,0.376884,0.00779726
0.00502513,0.38191,0.00877954
0.00502513,0.386935,0.00988434
0.00502513,0.39196,0.0111266
0.00502513,0.396985,0.012523
0.00502513,0.40201,0.0140922
0.00502513,0.407035,0.0158548
0.00502513,0.41206,0.0178339
0.00502513,0.417085,0.020055
0.00502513,0.422111,0.0225464
0.00502513,0.427136,0.0253393
0.00502513,0.432161,0.0284681
0.00502513,0.437186,0.0319705
0.00502513,0.442211,0.0358879
0.00502513,0.447236,0.0402654
0.00502513,0.452261,0.0451518
0.00502513,0.457286,0.0505999
0.00502513,0.462312,0.0566664
0.00502513,0.467337,0.0634116
0.00502513,0.472362,0.0708995
0.00502513,0.477387,0.0791967
0.00502513,0.482412,0.0883726
0.00502513,0.487437,0.0984978
0.00502513,0.492462,0.109644
0.00502513,0.497487,0.12188
0.00502513,0.502513,0.135275
0.00502513,0.507538,0.149891
0.00502513,0.512563,0.165783
0.00502513,0.517588,0.182997
0.00502513,0.522613,0.201566
